loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-09-06 10:04:54.584 -0400,232,440521.765,-0.987411499,-0.04122924805,-0.1019439697
2018-09-06 10:04:54.604 -0400,233,440521.7819,-1.018341064,-0.01467895508,-0.06523132324
2018-09-06 10:04:54.618 -0400,234,440521.7988,-0.9956665039,-0.02207946777,-0.1217498779
2018-09-06 10:04:54.637 -0400,235,440521.8156,-0.9908294678,-0.02749633789,-0.1680755615
2018-09-06 10:04:54.652 -0400,236,440521.8325,-1.015518188,-0.04168701172,-0.03855895996
2018-09-06 10:04:54.671 -0400,237,440521.8494,-0.9955749512,0.1396179199,0.165222168
2018-09-06 10:04:54.685 -0400,238,440521.8662,-0.9491729736,0.06639099121,0.0620880127
2018-09-06 10:04:54.705 -0400,239,440521.8831,-1.003875732,0.009841918945,-0.09471130371
2018-09-06 10:04:54.719 -0400,240,440521.9,-1.033203125,0.1022338867,0.02432250977
2018-09-06 10:04:54.738 -0400,241,440521.9168,-0.994644165,0.0251159668,0.03408813477
2018-09-06 10:04:54.753 -0400,242,440521.9337,-1.002670288,0.09053039551,0.2658081055
2018-09-06 10:04:54.772 -0400,243,440521.9506,-1.004013062,0.08514404297,0.3106842041
2018-09-06 10:04:54.787 -0400,244,440521.9674,-0.9982910156,0.09593200684,0.2697906494
2018-09-06 10:04:54.816 -0400,245,440521.9843,-1.005142212,0.1327514648,0.1937408447
2018-09-06 10:04:54.844 -0400,246,440522.0012,-1.010787964,0.08656311035,0.1769561768
2018-09-06 10:04:54.846 -0400,247,440522.0181,-1.004623413,-0.06126403809,0.1963195801
2018-09-06 10:04:54.854 -0400,248,440522.0349,-0.9984741211,-0.1088867188,0.2432556152
2018-09-06 10:04:54.873 -0400,249,440522.0518,-0.9982910156,-0.0877532959,0.2738189697
2018-09-06 10:04:54.888 -0400,250,440522.0687,-1.003753662,-0.01507568359,0.2535095215
2018-09-06 10:04:54.907 -0400,251,440522.0855,-1.001739502,0.02270507813,0.1770629883
2018-09-06 10:04:54.922 -0400,252,440522.1024,-1.00038147,-0.01707458496,0.1460266113
